1 2 3 4 5 6 7 8 9 10
2 3 4 5 6 7 8 9 10 11
11 12 13 14 15 16 17 18 19 20
10 9 8 7 6 5 4 3 2 1
2 4 6 8 10 12 14 16 18 20
1 3 5 7 9 11 13 15 17 19
1 1 1 1 1 1 1 1 1 1
5 5 5 5 5 5 5 5 5 5
10 10 10 10 10 10 10 10 10 10
15 15 15 15 15 15 15 15 15 15
1 1 2 2 3 3 4 4 5 5
10 10 9 9 8 8 7 7 6 6
1 2 3 4 5 6 7 8 7 7
2 2 3 4 5 6 7 8 9 10
20 19 18 17 16 15 14 13 12 11
20 18 16 14 12 10 8 6 4 2
Comparativa por promedio de la serie de tiempo:
	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]	[8]	[9]	[10]	[11]	[12]	[13]	[14]	[15]
 [10]	9.21954	12.0416	39.8121	15.6525	28.8097	26.0768	7.74597	7.74597	22.5832	38.2099	0	18.1659	7.2111	9.27362	41.7732	33.9116	
 [11]	15.6525	14.3178	27.2947	9.21954	24.4949	23.4521	22.5832	10.4881	7.74597	22.5832	18.1659	0	14.8997	15.0997	24.1868	16.7332	
 [12]	3.60555	5.74456	33.3617	16.1555	22.2261	19.5959	14.5602	7.2111	17.3781	32.4345	7.2111	14.8997	0	3.74166	36.8917	31.4643	
 [13]	1	3	31.3209	17.6918	19.5959	16.9115	16.9115	8.83176	16.3707	30.9516	9.27362	15.0997	3.74166	0	35.9583	31.749	
 [14]	36.4692	33.7639	18.1659	31.6228	30.7409	32.3265	46.744	34.4238	19.6214	9.21954	41.7732	24.1868	36.8917	35.9583	0	16.8819	
 [15]	32.3265	30.7409	30.7409	19.6214	36.3318	36.4692	36.4692	26.2679	18.4391	22.1359	33.9116	16.7332	31.4643	31.749	16.8819	0	

Comparativa por MAPE entre las series de tiempo:
	[0]	[1]	[2]	[3]	[4]	[5]	[6]	[7]	[8]	[9]	[10]	[11]	[12]	[13]	[14]	[15]
 [0]	0	-0.292897	-2.92897	-1.22186	-1	-0.707103	0.707103	-0.464484	-1.92897	-3.39345	0.410635	-1.6325	0.0522222	-0.0999999	-4.15083	-3.44373	
 [1]	0.201988	0	-1.81789	-0.423853	-0.596024	-0.394037	0.798012	-0.0099386	-1.01988	-2.02982	0.54391	-0.765775	0.24926	0.151988	-2.44373	-1.8477	
 [2]	0.668771	0.601894	0	0.59558	0.337543	0.40442	0.933123	0.665614	0.331229	-0.0031571	0.817088	0.447263	0.694298	0.65968	-0.0731913	0.19116	
 [3]	-1.22186	-1.51476	-4.15083	0	-3.44373	-3.15083	0.707103	-0.464484	-1.92897	-3.39345	-0.168015	-1.05385	-0.821864	-1.23186	-2.92897	-1	
 [4]	0.5	0.353552	-0.964484	-0.110932	0	0.146448	0.853551	0.267758	-0.464484	-1.19673	0.705317	-0.31625	0.526111	0.45	-1.57542	-1.22186	
 [5]	0.393337	0.180012	-1.73992	-0.739917	-0.213325	0	0.786674	-0.0666274	-1.13325	-2.19988	0.624326	-0.970906	0.420891	0.293337	-2.87317	-2.47983	
 [6]	-4.5	-5.49999	-14.5	-4.5	-9.99999	-8.99999	0	-4	-8.99999	-14	-2	-6.99999	-4	-4.6	-14.5	-9.99999	
 [7]	-0.1	-0.3	-2.1	-0.1	-1.2	-1	0.8	0	-1	-2	0.4	-0.6	0	-0.12	-2.1	-1.2	
 [8]	0.45	0.35	-0.55	0.45	-0.1	2.22045e-17	0.9	0.5	0	-0.5	0.7	0.2	0.5	0.44	-0.55	-0.1	
 [9]	0.633333	0.566667	-0.0333333	0.633333	0.266667	0.333333	0.933333	0.666667	0.333333	0	0.8	0.466667	0.666667	0.626667	-0.0333333	0.266667	
 [10]	-0.771666	-1.22833	-5.33833	-2.25166	-2.54333	-2.08667	0.543333	-1.28333	-3.56666	-5.85	0	-3.02333	-0.671666	-0.871666	-6.81833	-5.50333	
 [11]	0.22377	0.0946429	-1.0675	0.355833	-0.55246	-0.423333	0.870873	0.354365	-0.29127	-0.936905	0.579603	0	0.307103	0.21377	-0.935436	-0.288333	
 [12]	-0.0714286	-0.371786	-3.075	-1.2325	-1.14286	-0.8425	0.699643	-0.501785	-2.00357	-3.50536	0.373333	-1.67726	0	-0.171428	-4.23607	-3.465	
 [13]	0.05	-0.192897	-2.37897	-0.721865	-0.9	-0.657103	0.757103	-0.214484	-1.42897	-2.64345	0.460635	-1.1325	0.102222	0	-3.15083	-2.44373	
 [14]	0.59558	0.528703	-0.0731913	0.668771	0.19116	0.258037	0.933123	0.665614	0.331229	-0.0031571	0.781649	0.482702	0.639519	0.59058	0	0.337543	
 [15]	-0.110932	-0.257381	-1.57542	0.5	-1.22186	-1.07542	0.853551	0.267758	-0.464484	-1.19673	0.415992	-0.0269245	0.0890676	-0.115932	-0.964484	0	

